row;col;r;c;value;status
"Ingresos (I + II + III)";2023;1;1;51639,94;
"Ingresos (I + II + III)";2022;1;2;48863,27;
"Ingresos (I + II + III)";2020;1;3;42179,2;
"Ingresos (I + II + III)";2017;1;4;34029,71;
"Ingresos (I + II + III)";2015;1;5;32483,09;
"Ingresos (I + II + III)";2014;1;6;31862,07;
"Ingresos (I + II + III)";2012;1;7;29727,34;
"Ingresos (I + II + III)";2011;1;8;32630,05;
"Ingresos (I + II + III)";2010;1;9;32518,73;
"Ingresos (I + II + III)";2009;1;10;29730,76;
"Ingresos (I + II + III)";2008;1;11;28243,34;
"Ingresos (I + II + III)";2007;1;12;26684,64;
"Ingresos (I + II + III)";2006;1;13;23924,46;
"Ingresos (I + II + III)";2005;1;14;21516,87;
"Ingresos (I + II + III)";2004;1;15;18710,82;
"Ingresos (I + II + III)";2003;1;16;16081,39;
"Ingresos (I + II + III)";2002;1;17;14842,03;
"Ingresos (I + II + III)";2001;1;18;13395,21;
"Ingresos (I + II + III)";2000;1;19;12480,07;
"Ingresos (I + II + III)";1999;1;20;11487,97;
"1. Impuestos directos";2023;2;1;15386,76;
"1. Impuestos directos";2022;2;2;13163,13;
"1. Impuestos directos";2020;2;3;12816,56;
"1. Impuestos directos";2017;2;4;9630,15;
"1. Impuestos directos";2015;2;5;8765,57;
"1. Impuestos directos";2014;2;6;7696,56;
"1. Impuestos directos";2012;2;7;8116,31;
"1. Impuestos directos";2011;2;8;8358,53;
"1. Impuestos directos";2010;2;9;6387,48;
"1. Impuestos directos";2009;2;10;8931,33;
"1. Impuestos directos";2008;2;11;7448,5;
"1. Impuestos directos";2007;2;12;6338,62;
"1. Impuestos directos";2006;2;13;5558,3;
"1. Impuestos directos";2005;2;14;4917,56;
"1. Impuestos directos";2004;2;15;4395,72;
"1. Impuestos directos";2003;2;16;3932,29;
"1. Impuestos directos";2002;2;17;3733,46;
"1. Impuestos directos";2001;2;18;1976,48;
"1. Impuestos directos";2000;2;19;1788,19;
"1. Impuestos directos";1999;2;20;1645,86;
"2. Impuestos indirectos";2023;3;1;14086,98;
"2. Impuestos indirectos";2022;3;2;11738,23;
"2. Impuestos indirectos";2020;3;3;13243,77;
"2. Impuestos indirectos";2017;3;4;10912,22;
"2. Impuestos indirectos";2015;3;5;9382,2;
"2. Impuestos indirectos";2014;3;6;8703,05;
"2. Impuestos indirectos";2012;3;7;9307,15;
"2. Impuestos indirectos";2011;3;8;8567,36;
"2. Impuestos indirectos";2010;3;9;6322,94;
"2. Impuestos indirectos";2009;3;10;8261,03;
"2. Impuestos indirectos";2008;3;11;10662,8;
"2. Impuestos indirectos";2007;3;12;10917,64;
"2. Impuestos indirectos";2006;3;13;9593,75;
"2. Impuestos indirectos";2005;3;14;8550,96;
"2. Impuestos indirectos";2004;3;15;7312,21;
"2. Impuestos indirectos";2003;3;16;6206,68;
"2. Impuestos indirectos";2002;3;17;5601,08;
"2. Impuestos indirectos";2001;3;18;1281,02;
"2. Impuestos indirectos";2000;3;19;1240,49;
"2. Impuestos indirectos";1999;3;20;1010,4;
"3. Tasas, venta de bienes y servicios y otros ingresos";2023;4;1;446,06;
"3. Tasas, venta de bienes y servicios y otros ingresos";2022;4;2;443,08;
"3. Tasas, venta de bienes y servicios y otros ingresos";2020;4;3;362,13;
"3. Tasas, venta de bienes y servicios y otros ingresos";2017;4;4;608,25;
"3. Tasas, venta de bienes y servicios y otros ingresos";2015;4;5;522,95;
"3. Tasas, venta de bienes y servicios y otros ingresos";2014;4;6;333,33;
"3. Tasas, venta de bienes y servicios y otros ingresos";2012;4;7;518,95;
"3. Tasas, venta de bienes y servicios y otros ingresos";2011;4;8;465,38;
"3. Tasas, venta de bienes y servicios y otros ingresos";2010;4;9;489,51;
"3. Tasas, venta de bienes y servicios y otros ingresos";2009;4;10;599,73;
"3. Tasas, venta de bienes y servicios y otros ingresos";2008;4;11;596,5;
"3. Tasas, venta de bienes y servicios y otros ingresos";2007;4;12;583,3;
"3. Tasas, venta de bienes y servicios y otros ingresos";2006;4;13;556,46;
"3. Tasas, venta de bienes y servicios y otros ingresos";2005;4;14;521,98;
"3. Tasas, venta de bienes y servicios y otros ingresos";2004;4;15;472,18;
"3. Tasas, venta de bienes y servicios y otros ingresos";2003;4;16;413,19;
"3. Tasas, venta de bienes y servicios y otros ingresos";2002;4;17;391,1;
"3. Tasas, venta de bienes y servicios y otros ingresos";2001;4;18;352,64;
"3. Tasas, venta de bienes y servicios y otros ingresos";2000;4;19;335,14;
"3. Tasas, venta de bienes y servicios y otros ingresos";1999;4;20;348,99;
"4. Transferencias corrientes";2023;5;1;7366,27;
"4. Transferencias corrientes";2022;5;2;7621,2;
"4. Transferencias corrientes";2020;5;3;4986,05;
"4. Transferencias corrientes";2017;5;4;5778,81;
"4. Transferencias corrientes";2015;5;5;4946,74;
"4. Transferencias corrientes";2014;5;6;4531,09;
"4. Transferencias corrientes";2012;5;7;5203,64;
"4. Transferencias corrientes";2011;5;8;3890,09;
"4. Transferencias corrientes";2010;5;9;9532,65;
"4. Transferencias corrientes";2009;5;10;7579,28;
"4. Transferencias corrientes";2008;5;11;7296;
"4. Transferencias corrientes";2007;5;12;6582,28;
"4. Transferencias corrientes";2006;5;13;6211,28;
"4. Transferencias corrientes";2005;5;14;5348,48;
"4. Transferencias corrientes";2004;5;15;4847,12;
"4. Transferencias corrientes";2003;5;16;4468,87;
"4. Transferencias corrientes";2002;5;17;4234,75;
"4. Transferencias corrientes";2001;5;18;8913,53;
"4. Transferencias corrientes";2000;5;19;8397,04;
"4. Transferencias corrientes";1999;5;20;7781,59;
"5. Ingresos patrimoniales";2023;6;1;22,34;
"5. Ingresos patrimoniales";2022;6;2;17,23;
"5. Ingresos patrimoniales";2020;6;3;22,98;
"5. Ingresos patrimoniales";2017;6;4;41,49;
"5. Ingresos patrimoniales";2015;6;5;274,02;
"5. Ingresos patrimoniales";2014;6;6;1454,43;
"5. Ingresos patrimoniales";2012;6;7;9,2;
"5. Ingresos patrimoniales";2011;6;8;9,85;
"5. Ingresos patrimoniales";2010;6;9;53,7;
"5. Ingresos patrimoniales";2009;6;10;53,86;
"5. Ingresos patrimoniales";2008;6;11;50,2;
"5. Ingresos patrimoniales";2007;6;12;48,6;
"5. Ingresos patrimoniales";2006;6;13;48,09;
"5. Ingresos patrimoniales";2005;6;14;8,67;
"5. Ingresos patrimoniales";2004;6;15;8,5;
"5. Ingresos patrimoniales";2003;6;16;9,68;
"5. Ingresos patrimoniales";2002;6;17;9,62;
"5. Ingresos patrimoniales";2001;6;18;9,62;
"5. Ingresos patrimoniales";2000;6;19;7,81;
"5. Ingresos patrimoniales";1999;6;20;7,81;
"I. Operaciones corrientes (1 a 5)";2023;7;1;37308,41;
"I. Operaciones corrientes (1 a 5)";2022;7;2;32982,87;
"I. Operaciones corrientes (1 a 5)";2020;7;3;31431,49;
"I. Operaciones corrientes (1 a 5)";2017;7;4;26970,92;
"I. Operaciones corrientes (1 a 5)";2015;7;5;23891,48;
"I. Operaciones corrientes (1 a 5)";2014;7;6;22718,45;
"I. Operaciones corrientes (1 a 5)";2012;7;7;23155,24;
"I. Operaciones corrientes (1 a 5)";2011;7;8;21291,21;
"I. Operaciones corrientes (1 a 5)";2010;7;9;22786,28;
"I. Operaciones corrientes (1 a 5)";2009;7;10;25425,23;
"I. Operaciones corrientes (1 a 5)";2008;7;11;26054;
"I. Operaciones corrientes (1 a 5)";2007;7;12;24470,44;
"I. Operaciones corrientes (1 a 5)";2006;7;13;21967,87;
"I. Operaciones corrientes (1 a 5)";2005;7;14;19347,65;
"I. Operaciones corrientes (1 a 5)";2004;7;15;17035,73;
"I. Operaciones corrientes (1 a 5)";2003;7;16;15030,71;
"I. Operaciones corrientes (1 a 5)";2002;7;17;13970,01;
"I. Operaciones corrientes (1 a 5)";2001;7;18;12533,29;
"I. Operaciones corrientes (1 a 5)";2000;7;19;11768,67;
"I. Operaciones corrientes (1 a 5)";1999;7;20;10794,65;
"6. Enajenación de inversiones reales";2023;8;1;0,16;
"6. Enajenación de inversiones reales";2022;8;2;16,42;
"6. Enajenación de inversiones reales";2020;8;3;9,44;
"6. Enajenación de inversiones reales";2017;8;4;0;
"6. Enajenación de inversiones reales";2015;8;5;100;
"6. Enajenación de inversiones reales";2014;8;6;864;
"6. Enajenación de inversiones reales";2012;8;7;888,15;
"6. Enajenación de inversiones reales";2011;8;8;200;
"6. Enajenación de inversiones reales";2010;8;9;0;
"6. Enajenación de inversiones reales";2009;8;10;0;
"6. Enajenación de inversiones reales";2008;8;11;10;
"6. Enajenación de inversiones reales";2007;8;12;0;
"6. Enajenación de inversiones reales";2006;8;13;0;
"6. Enajenación de inversiones reales";2005;8;14;0;
"6. Enajenación de inversiones reales";2004;8;15;0;
"6. Enajenación de inversiones reales";2003;8;16;0;
"6. Enajenación de inversiones reales";2002;8;17;0;
"6. Enajenación de inversiones reales";2001;8;18;0;
"6. Enajenación de inversiones reales";2000;8;19;0;
"6. Enajenación de inversiones reales";1999;8;20;0;
"7. Transferencias de capital";2023;9;1;864,32;
"7. Transferencias de capital";2022;9;2;1067,79;
"7. Transferencias de capital";2020;9;3;374,9;
"7. Transferencias de capital";2017;9;4;70,62;
"7. Transferencias de capital";2015;9;5;795,94;
"7. Transferencias de capital";2014;9;6;25,07;
"7. Transferencias de capital";2012;9;7;289,51;
"7. Transferencias de capital";2011;9;8;813,5;
