Generalitat de Catalunya. Presupuesto. Por capítulos
Cataluña
Unidades: Millones de euros.
Fuente: Departamento de Economía y Hacienda.
Notas:
 Subsector Generalidad.
 No se aprobó la Ley de presupuestos para el ejercicio 2013, 2016, 2018, 2019 y 2021.
 Para obtener una mejor interpretación de los datos puede consultar la "Memoria explicativa" de los presupuestos de cada ejercicio.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15638&lang=es
;2023;2022;2020;2017;2015;2014;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999
Ingresos (I + II + III);51639,94;48863,27;42179,20;34029,71;32483,09;31862,07;29727,34;32630,05;32518,73;29730,76;28243,34;26684,64;23924,46;21516,87;18710,82;16081,39;14842,03;13395,21;12480,07;11487,97
1. Impuestos directos;15386,76;13163,13;12816,56;9630,15;8765,57;7696,56;8116,31;8358,53;6387,48;8931,33;7448,50;6338,62;5558,30;4917,56;4395,72;3932,29;3733,46;1976,48;1788,19;1645,86
2. Impuestos indirectos;14086,98;11738,23;13243,77;10912,22;9382,20;8703,05;9307,15;8567,36;6322,94;8261,03;10662,80;10917,64;9593,75;8550,96;7312,21;6206,68;5601,08;1281,02;1240,49;1010,40
3. Tasas, venta de bienes y servicios y otros ingresos;446,06;443,08;362,13;608,25;522,95;333,33;518,95;465,38;489,51;599,73;596,50;583,30;556,46;521,98;472,18;413,19;391,10;352,64;335,14;348,99
4. Transferencias corrientes;7366,27;7621,20;4986,05;5778,81;4946,74;4531,09;5203,64;3890,09;9532,65;7579,28;7296,00;6582,28;6211,28;5348,48;4847,12;4468,87;4234,75;8913,53;8397,04;7781,59
5. Ingresos patrimoniales;22,34;17,23;22,98;41,49;274,02;1454,43;9,20;9,85;53,70;53,86;50,20;48,60;48,09;8,67;8,50;9,68;9,62;9,62;7,81;7,81
I. Operaciones corrientes (1 a 5);37308,41;32982,87;31431,49;26970,92;23891,48;22718,45;23155,24;21291,21;22786,28;25425,23;26054,00;24470,44;21967,87;19347,65;17035,73;15030,71;13970,01;12533,29;11768,67;10794,65
6. Enajenación de inversiones reales;0,16;16,42;9,44;0,00;100,00;864,00;888,15;200,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7. Transferencias de capital;864,32;1067,79;374,90;70,62;795,94;25,07;289,51;813,50;313,64;250,68;236,60;247,18;233,87;220,99;163,10;225,91;211,64;262,71;232,39;198,74
II. Operaciones de capital (6 y 7);864,48;1084,21;384,34;70,62;895,94;889,07;1177,66;1013,50;313,64;250,68;246,60;247,18;233,87;220,99;163,10;225,91;211,64;262,71;232,39;198,74
Subtotal operaciones no financieras (I + II);38172,89;34067,07;31815,83;27041,54;24787,42;23607,52;24332,90;22304,72;23099,92;25675,91;26300,60;24717,62;22201,74;19568,64;17198,83;15256,62;14181,65;12796,00;12001,06;10993,39
8. Variación de activos financieros;584,04;1127,30;144,11;82,97;93,18;19,14;421,06;210,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9. Variación de pasivos financieros;12883,01;13668,90;10219,27;6905,20;7602,48;8235,41;4973,38;10115,28;9418,81;4054,84;1942,74;1967,02;1722,72;1948,22;1511,99;824,77;660,38;599,21;479,01;494,58
III. Operaciones financieras (8 y 9);13467,05;14796,20;10363,37;6988,16;7695,66;8254,54;5394,45;10325,33;9418,81;4054,84;1942,74;1967,02;1722,72;1948,22;1511,99;824,77;660,38;599,21;479,01;494,58
Gastos (I + II + III);51639,94;48863,27;42179,20;34029,71;32483,09;31862,07;29727,34;32630,05;32518,73;29730,76;28243,34;26684,64;23924,46;21516,88;18710,82;16081,39;14842,03;13395,21;12480,07;11487,97
1. Remuneraciones del personal;7932,96;7099,39;6573,46;5592,44;5112,25;4727,65;5160,52;5159,23;5479,23;5316,94;4955,85;4496,21;3919,85;3508,77;3177,57;2870,09;2606,70;2435,77;2325,40;2149,73
2. Gastos corrientes de bienes y servicios;3868,58;3713,51;2385,61;2188,94;1858,86;1162,85;1218,77;1330,06;1564,59;1471,51;1450,53;1329,66;1188,68;968,25;892,70;649,11;591,44;505,54;461,71;371,39
3. Gastos financieros;784,19;639,29;879,51;799,26;1713,18;2077,00;1994,34;1477,90;1118,70;808,50;678,65;561,05;491,20;440,71;387,38;434,10;446,56;462,08;449,59;475,81
4. Transferencias corrientes;24727,81;22715,81;20462,55;18118,36;16616,73;16530,36;16993,16;17651,13;18494,40;17565,33;16918,81;15938,43;14547,44;12998,75;11687,25;9734,85;9076,76;8267,75;7739,76;7095,99
